"강좌명","접수상태","운영기간(시작)","운영기간(종료)","신청기간(시작)","신청기간(종료)","수강료","시간(시작)","시간(종료)","문의전화","첨부파일","운영기관","정원","접수","잔여","위치정보(위도)","위치정보(경도)","주소"
"[정규] 하모니카 교실","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","13:00","15:00","051-320-8332, 8343","-","여성문화회관","24","21","3","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[정규] OA사무과정(파워포인트)★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","10:00","12:00","051-320-8332, 8343","-","여성문화회관","20","18","2","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[정규] 동화구연과 그림책 놀이★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","14:00","16:00","051-320-8332, 8343","-","여성문화회관","20","18","2","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[정규] 생활양재★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","42000","14:00","16:00","051-320-8332, 8343","-","여성문화회관","20","15","5","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[정규] 양재(옷수선) 소자본 창업★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","42000","13:00","15:00","051-320-8332, 8343","-","여성문화회관","20","14","6","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[정규] 생활요가","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","14:00","15:00","051-320-8332, 8343","-","여성문화회관","20","15","5","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[정규] 스마트폰과 SNS활용","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","21000","13:30","15:30","051-320-8332, 8343","-","여성문화회관","20","16","4","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[정규] 종합홈패션★","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","42000","10:00","12:00","051-320-8332, 8343","-","여성문화회관","20","13","7","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"[정규] 컴퓨터 기초와 인터넷","교육중","2024-04-15","2024-07-15","2024-04-15 09:00:00","2024-04-19 18:00:00","42000","12:00","14:00","051-320-8332, 8343","-","여성문화회관","20","14","6","35.1400822597","128.9898142978","부산 사상구 학감대로 95 (학장동, 부산광역시여성문화회관)"
"스케치교실","교육중","2024-05-07","2024-11-26","2024-04-15 09:00:00","2024-04-26 18:00:00","5000","16:30","18:30","051-607-6964","-","남구 문현4동 주민자치회","0","0","0","35.136195587528","129.069127855975","부산 남구 수영로 12 (문현동, 세종그랑시아아파트)"
"내 손으로 만드는 토탈공예 (1)","접수마감","2024-05-22","2024-06-19","2024-04-15 00:00:00","2024-05-09 00:00:00","0","10:00","12:00","051-419-5502","수강생 모집 안내문(토탈공예).hwp","영도구 남항동 주민자치회","10","1","9","35.0899716186","129.0376314028","부산 영도구 남항로9번길 1 (남항동1가, 남항동주민센터)"
"내 손으로 만드는 토탈공예 (2)","접수중","2024-06-26","2024-07-24","2024-04-15 00:00:00","2024-06-07 00:00:00","0","10:00","12:00","051-419-5502","수강생 모집 안내문(토탈공예).hwp","영도구 남항동 주민자치회","10","1","9","35.0885151616382","129.038969800138","부산 영도구 절영로 71 (남항동2가, 영도어린이영어도서관)"
"캘리그라피","접수중","2024-04-12","2028-10-31","2024-04-10 00:00:00","2025-10-01 00:00:00","20000","10:00","12:00","051-309-6262","-","북구 금곡동 주민자치회","0","0","0","35.2500801336","129.0128491383","부산 북구 금곡대로 466 (금곡동, 금곡동주민센터)"
"하모니카","접수중","2024-04-10","2028-10-31","2024-04-10 00:00:00","2028-10-31 00:00:00","20000","10:00","11:30","051-309-6262","-","북구 금곡동 주민자치회","0","0","0","35.2500801336","129.0128491383","부산 북구 금곡대로 466 (금곡동, 금곡동주민센터)"
"배드민턴(B반)교실","접수중","2024-03-25","2024-06-28","2024-04-01 09:00:00","2024-06-28 17:00:00","30000","09:00","13:00","051-749-6402","-","해운대구 반여3동 주민자치회","30","0","30","35.2009944561","129.1335060549","부산 해운대구 재반로256번길 29-70 (반여동, 반여3동 주민센터)"
"【자격증】미용사(일반)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","60370","10:00","13:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】침선공예","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","60370","10:00","13:00","051-610-2010~2011","-","여성회관","20","11","9","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"플라워샵 창업반","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","9","11","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】중식조리기능사","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","60370","10:00","13:00","051-610-2010~2011","-","여성회관","20","7","13","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】일본어 JPT","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","40250","19:00","21:00","051-610-2010~2011","-","여성회관","20","15","5","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"실전중국어-1","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","38500","10:00","12:00","051-610-2010~2011","-","여성회관","20","14","6","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】(그래픽2) 포토샵","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","15","5","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"남성커트(초급)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】이지톡톡 잉글리시","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","19:00","21:00","051-610-2010~2011","-","여성회관","20","17","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】직장인 스피드요리","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","19:00","21:00","051-610-2010~2011","-","여성회관","24","15","9","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】미용사(네일)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","60370","10:00","13:00","051-610-2010~2011","-","여성회관","20","10","10","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】노인교구지도사 2급 B","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","35000","13:30","17:30","051-610-2010~2011","-","여성회관","20","17","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"한지공예","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","15","5","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"웰빙 샌드위치&샐러드","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","24","21","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】미용사(피부)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","60370","10:00","13:00","051-610-2010~2011","-","여성회관","20","13","7","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"캘리그라피","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"봉제기초","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","17","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"홈패션","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"아이옷만들기","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"의류제작(초급)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","57750","10:00","13:00","051-610-2010~2011","-","여성회관","20","15","5","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"뷰티 메이크업","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","11","9","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"퀼트","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","57750","10:00","13:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】한 접시 일품요리","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","19250","19:00","21:00","051-610-2010~2011","-","여성회관","24","13","11","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】남성커트(중급)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","19:00","21:00","051-610-2010~2011","-","여성회관","20","11","9","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】헤어숍실무(여성펌&남성펌)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","19:00","21:00","051-610-2010~2011","-","여성회관","20","14","6","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【주말】옷 만들기","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】커피바리스타2급 A","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","10:00","13:00","051-610-2010~2011","-","여성회관","16","6","10","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"의류리폼 및 옷수선","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","12","8","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"전통한복","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","19","1","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】제빵 클래스(4월)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","10500","19:00","21:00","051-610-2010~2011","-","여성회관","16","13","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】제과취창업","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","14","11","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】패턴이해와 제작(중급)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","20","0","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】의류제작(중급)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","57750","14:00","17:00","051-610-2010~2011","-","여성회관","20","15","5","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】트렌드패션 패턴&제작(중급)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","15","5","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】패턴이해와 제작(중급)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","19:00","21:00","051-610-2010~2011","-","여성회관","20","12","8","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】침선공예","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","11","9","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】제빵취창업","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","13:30","16:30","051-610-2010~2011","-","여성회관","14","9","5","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】한지공예","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","12","8","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【주말】(심화)파워디렉터(영상 편집)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","11","9","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】홈패션&이지웨어","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】소통전문가 영어","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","19250","14:00","16:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】미용-가족머리","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","15","5","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【단기】【주말】가족홈베이커리(4월)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","13120","10:00","13:00","051-610-2010~2011","-","여성회관","12","5","7","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】실전일본어-2","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","31500","14:00","17:00","051-610-2010~2011","-","여성회관","25","18","7","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】실전중국어-2","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","17","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】커피바리스타2급 B","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","10:00","13:00","051-610-2010~2011","-","여성회관","16","9","7","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】홈패션","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","19:00","21:00","051-610-2010~2011","-","여성회관","20","17","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】노인교구지도사 2급 A","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","35000","13:30","17:30","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】커피바리스타2급","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","17500","19:00","21:00","051-610-2010~2011","-","여성회관","18","15","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】실전중국어 HSK","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","40250","19:00","21:00","051-610-2010~2011","-","여성회관","20","15","5","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】영어(TOEIC)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","40250","10:00","16:00","051-610-2010~2011","-","여성회관","25","17","8","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"실용영어","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","19250","10:00","12:00","051-610-2010~2011","-","여성회관","20","14","6","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【주말】네일아트","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","10","10","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【주말】누비제품&쏘잉 클래스","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","15","5","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"(기초2) 스마트폰&키오스크","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","11","9","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】(오피스4)(심화)ITQ한글","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","60370","14:00","17:00","051-610-2010~2011","-","여성회관","20","6","14","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】미용사(메이크업)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","60370","10:00","13:00","051-610-2010~2011","-","여성회관","20","8","12","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"그래픽토퍼","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","14","6","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"테크니컬 패턴메이킹 입문(의상제작 기초)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"퓨전 일식 요리반","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","24","15","9","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"여성커트","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","14","6","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【주말】재밌는 영어회화","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","10:00","12:00","051-610-2010~2011","-","여성회관","25","22","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】제빵기능사 & 기초반","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","57750","09:30","12:30","051-610-2010~2011","-","여성회관","20","14","6","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"실전일본어-1","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","40250","10:00","16:00","051-610-2010~2011","-","여성회관","25","21","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"(오피스3)엑셀2016","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","15","5","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】커피바리스타2급 C","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","13:00","16:00","051-610-2010~2011","-","여성회관","16","8","8","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"패션한복","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","57750","14:00","17:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】제과기능사","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","60370","10:00","13:00","051-610-2010~2011","-","여성회관","20","14","6","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】(오피스2)파워포인트2016","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","40250","19:00","21:00","051-610-2010~2011","-","여성회관","20","11","9","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"POP 예쁜글씨","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","17","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"카페디저트(기초반)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","13","7","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【심화】카페 케이크","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","14:00","17:00","051-610-2010~2011","-","여성회관","20","8","12","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】화훼장식기능사(실기)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","60370","14:00","17:00","051-610-2010~2011","-","여성회관","20","7","13","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】스피드 카페디저트","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","19:00","21:00","051-610-2010~2011","-","여성회관","20","10","10","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"자수공예","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","31500","10:00","13:00","051-610-2010~2011","-","여성회관","25","21","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【야간】봉제기초","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","21000","19:00","21:00","051-610-2010~2011","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【자격증】한식조리기능사","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","60370","10:00","13:00","051-610-2010~2011","-","여성회관","20","13","7","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"퓨전 초대요리","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","31500","14:00","17:00","051-610-2010~2011","-","여성회관","24","16","8","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"수제떡&한식디저트","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","31500","14:00","17:00","051-610-2010~2011","-","여성회관","24","20","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"혼밥혼술 다이닝","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","31500","14:00","17:00","051-610-2010~2011","-","여성회관","24","13","11","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"지중해식 건강요리","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","31500","10:00","13:00","051-610-2010~2011","-","여성회관","24","18","6","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【주말】손맛나는 수채캘리그라피","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","28870","10:00","13:00","051-610-2010~2011","-","여성회관","20","17","3","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【주말】남성커트(초급)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","31500","10:00","13:00","051-610-2010~2011","-","여성회관","25","17","8","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【단기】데일리 메이크업(5~6월)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","13120","14:00","17:00","051-610-2010","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【단기】천연발효빵 블랑제리(5~6월)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","13120","13:30","16:30","051-610-2010","-","여성회관","20","16","4","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【단기】【주말】카페 창업 인기 디저트(5월)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","13120","10:00","13:00","051-610-2010","-","여성회관","20","11","9","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"【단기】(그래픽1)포토스케이프&블로그(4~5월)","교육중","2024-04-01","2024-06-29","2024-04-01 09:00:00","2024-04-05 18:00:00","23620","10:00","13:00","051-610-2010","-","여성회관","20","14","6","35.1390876825","129.1045463057","부산 남구 수영로 356 (대연동, 여성회관)"
"다도교실","접수중","2024-04-01","2024-06-21","2024-04-01 09:00:00","2024-06-21 18:00:00","30000","10:00","12:00","-","-","해운대구 좌3동 주민자치회","20","0","20","35.172265608","129.1666142751","부산 해운대구 좌동순환로 65 (좌동, 좌3동주민센터)"
